Titulo,Genero,Autor,Nacionalidad,Calificacion,Fecha_lectura,Año_publicacion,Paginas
Mi año de descanso y relajacion,Ficcion contemporanea,Ottessa Moshfegh,Estados Unidos,3,04/07/2023,2019,289
La familia,Drama ,Sara Mesa,España,4,10/07/2023,2022,224
Indigno de ser humano,Ficcion autobiografica,Osamu Dazai,Japon,4,15/07/2023,2021,171
"Kim Ji-young, nacida en 1982",Ficcion contemporanea,Cho Nam-joo,Corea del Sur,4,24/07/2023,2019,157
El beso de la mujer araña,Drama,Manuel Puig,Argentina,4,10/08/2023,1994,288
Una mujer,Ficcion autobiografica,Annie Ernaux,Francia,4,23/08/2023,2020,107
Se anuncia un asesinato,Policial,Agatha Christie,Reino Unido,3,13/09/2023,2005,320
Cometierra,Realismo magico,Dolores Reyes,Argentina,4,16/09/2023,2019,176
El verano en que mi madre tuvo los ojos verdes,Drama,Tatiana Țîbuleac,Moldavia,4,23/09/2023,2019,256
Los incomprendidos,Drama,Pedro Simon,España,5,03/10/2023,2022,288
Dolores Claiborne,Thriller psicologico,Stephen King,Estados Unidos,4,14/10/2023,2009,384
La mala costumbre,Ficcion contemporanea,Alana Portero,España,4,24/10/2023,2023,202
La señora March,Thriller psicologico,Virginia Feito,España,5,31/10/2023,2022,328
Rabia,Thriller,Stephen King,Estados Unidos,4,03/11/2023,2004,274
Colorado Kid,Misterio,Stephen King,Reino Unido,2,26/11/2023,2005,152
La naranja mecanica,Drama,Anthony Burgess,Estados Unidos,4,26/11/2023,2009,201
Lecciones de quimica,Ficción humorística,Bonnie Garmus,Estados Unidos,3,22/12/2023,2023,464
El adversario,True crime,Emmanuel Carrère,Francia,3,29/12/2023,2011,172
Dos hermanas,Ficcion contemporanea,David Foenkinos,Francia,4,7/01/2024,2020,160
Orgullo y prejuicio,Romance,Jane Austen,Reino Unido,5,14/01/2024,2006,544
Miedo,Thriller psicologico,Stefan Zweig,Austria,4,18/01/2024,2018,144
Quien sabe si mañana seguiremos aqui,Thriller psicologico,Kim Young-ha,Corea del Sur,4,22/01/2024,2019,160
El baile de las marionetas,Ficcion historica,Mercedes Guerrero,España,5,23/01/2024,2020,576
Las gratitudes,Ficcion contemporanea,Delphine de Vigan,Francia,4,29/01/2024,2021,176
Ardiente secreto,Ficcion,Stefan Zweig,Austria,3,3/02/2024,2004,126
Carta de una desconocida,Drama,Stefan Zweig,Austria,5,13/02/2024,2002,72
El fin de la soledad,Drama,Benedict Wells,Alemania,4,13/02/2024,2017,288
La verdad sobre el caso Harry Quebert,Policial,Joël Dicker,Suiza,5,21/02/2024,2013,793
Numero dos,Ficcion contemporanea,David Foenkinos,Francia,3,25/02/2024,2022,224
Cara de pan,Ficcion contemporanea,Sara Mesa,España,3,2/03/2024,2018,144
Carcoma,Terror,Layla Martinez,España,5,4/03/2024,2021,144
La asistenta,Thriller,Freida McFadden,Estados Unidos,4,9/03/2024,2023,354
El guardian entre el centeno,Ficcion,J.D. Salinger,Estados Unidos,3,15/03/2024,2007,266
La teoria del amor,Romance,Ali Hazelwood,Italia,2,17/03/2024,2023,520
Las cosas que perdimos en el fuego,Terror,Mariana Enriquez,Argentina,3,4/04/2024,2016,200
Las malas,Ficcion autobiografica,Camila Sosa Villada,Argentina ,4,23/04/2024,2019,224
El pecador de Oxford ,Thriller,Mar Petryk,Argentina ,3,30/04/2024,2021,588
Asesinato en el Orient Express,Policial,Agatha Christie,Reino Unido,4,11/05/2024,1934,253
Fabricante de lagrimas,Thriller,Erin Doom,Italia,4,22/05/2024,2021,771
Antes de que se enfrie el cafe,Realismo magico,Toshikazu Kawaguchi,Japon,4,29/05/2024,2015,270
Almendra,Ficcion contemporanea,Sohn Won-Pyung,Corea del Sur,4,3/06/2024,2017,256
Los peligros de fumar en la cama,Terror,Mariana Enriquez,Argentina,4,12/06/2024,2009,221
El asesinato de Roger Ackroyd,Policial,Agatha Christie,Reino Unido,4,12/06/2024,1926,256
La chica que vive al final del camino,Thriller,Laird Koenig,Estados Unidos,4,15/06/2024,1974,272
Fahrenheit 451,Distopia,Ray Bradbury,Estados Unidos,3,19/06/2024,1953,194
Mis di­as en la libreria Morisaki,Ficcion contemporanea,Satoshi Yagisawa,Japon,4,29/06/2024,2010,160
Romper el circulo,Romance,Colleen Hoover,Estados Unidos,4,9/07/2024,2016,400
Misery,Thriller psicologico,Stephen King,Estados Unidos,5,18/07/2024,1987,432
Ensayo sobre la ceguera,Distopia,Jose Saramago,Portugal,4,8/08/2024,1995,329
Las indignas,Distopia,Agustina Bazterrica,Argentina,4,25/08/2024,2023,192
Caso cli­nico,Thriller psicologico,Graeme Macrae Burnet,Escocia,3,25/08/2024,2021,352
Un animal salvaje,Ficcion contemporanea,Joël Dicker,Suiza,3,14/09/2024,2024,448
It,Terror,Stephen King,Estados Unidos,5,22/09/2024,1986,1503
